Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_sherbrooke,8,260,0,261,0,0.4990403071017274,0.4990403071017274,1.0,0.0,0.6658130601792573,2046.7329497337341,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,9,227,12,249,33,0.45873320537428025,0.47689075630252103,0.8730769230769231,0.04597701149425287,0.6168478260869565,2628.6796004772186,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,9,23,255,6,237,0.5335892514395394,0.7931034482758621,0.08846153846153847,0.9770114942528736,0.15916955017301038,2621.5653088092804,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,10,149,64,197,111,0.4088291746641075,0.430635838150289,0.573076923076923,0.24521072796934865,0.49174917491749165,3409.780498981476,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_sherbrooke,10,150,63,198,110,0.4088291746641075,0.43103448275862066,0.5769230769230769,0.2413793103448276,0.49342105263157887,3425.492697954178,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,521
ibm_brisbane,2,521,11,510,0,0.510556621880998,0.5053346265761397,1.0,0.02111324376199616,0.6713917525773195,256.57438802719116,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,2,521,11,510,0,0.510556621880998,0.5053346265761397,1.0,0.02111324376199616,0.6713917525773195,256.8962197303772,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,3,521,0,521,0,0.5,0.5,1.0,0.0,0.6666666666666666,795.8856399059296,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,3,521,0,521,0,0.5,0.5,1.0,0.0,0.6666666666666666,797.046306848526,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,4,0,521,0,521,0.5,0,0.0,1.0,0,1258.3079154491425,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,4,0,521,0,521,0.5,0,0.0,1.0,0,1256.0442144870758,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,5,0,521,0,521,0.5,0,0.0,1.0,0,1850.1058344841003,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,5,0,521,0,521,0.5,0,0.0,1.0,0,1848.6667346954346,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,6,0,521,0,521,0.5,0,0.0,1.0,0,2329.8550815582275,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,6,521,0,521,0,0.5,0.5,1.0,0.0,0.6666666666666666,2338.0551574230194,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,7,196,134,387,325,0.31669865642994244,0.3361921097770154,0.3761996161228407,0.2571976967370441,0.35507246376811596,3202.056203365326,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.027241864542322834,1042
ibm_sherbrooke,7,457,11,510,64,0.4491362763915547,0.4725956566701138,0.8771593090211133,0.02111324376199616,0.614247311827957,3216.273504257202,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,8,197,136,385,324,0.31957773512476007,0.3384879725085911,0.3781190019193858,0.26103646833013433,0.35720761559383507,4075.3950650691986,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1042
ibm_sherbrooke,8,53,511,10,468,0.5412667946257198,0.8412698412698413,0.1017274472168906,0.980806142034549,0.1815068493150685,4067.2538170814514,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,9,454,22,499,67,0.45681381957773515,0.47639034627492133,0.8714011516314779,0.04222648752399232,0.616010854816825,5321.245377779007,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1042
ibm_sherbrooke,9,32,508,13,489,0.5182341650671785,0.7111111111111111,0.061420345489443376,0.9750479846449136,0.11307420494699645,5322.136853933334,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,10,256,411,110,265,0.6401151631477927,0.6994535519125683,0.491362763915547,0.7888675623800384,0.5772266065388951,7122.518125534058,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1042
ibm_sherbrooke,10,54,460,61,467,0.4932821497120921,0.46956521739130436,0.1036468330134357,0.8829174664107485,0.16981132075471697,7125.840269565582,0,,127,0.00011300799805437367,0.00011300799805437367,0.026774729330708662,1042
ibm_brisbane,2,781,17,765,0,0.510556621880998,0.5051746442432082,1.0,0.021739130434782608,0.6712505371723247,384.5790867805481,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1563
ibm_sherbrooke,2,0,765,17,781,0.4894433781190019,0.0,0.0,0.9782608695652174,0,387.63123512268066,0,,127,0.00010969810499983865,0.00010969810499983865,0.026351808562992126,1563
ibm_brisbane,3,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,1205.8752920627594,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1563
ibm_sherbrooke,3,781,0,782,0,0.4996801023672425,0.4996801023672425,1.0,0.0,0.666382252559727,1194.4663133621216,0,,127,0.00010969810499983865,0.00010969810499983865,0.026351808562992126,1563
ibm_brisbane,4,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,1886.3268823623657,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1563
ibm_sherbrooke,4,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,1886.221507549286,0,,127,0.00010969810499983865,0.00010969810499983865,0.026351808562992126,1563
ibm_brisbane,5,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,2761.573782682419,4.912659,,127,3.911351782607001e-05,3.911351782607001e-05,0.02700925812007874,1563
ibm_brisbane,6,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,2833.8493044376373,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,1563
ibm_sherbrooke,6,362,197,585,419,0.35764555342290466,0.382259767687434,0.46350832266325226,0.25191815856777494,0.41898148148148145,2586.438640832901,0,,127,0.00022643288253714706,0.00022643288253714706,0.033997062623031496,1563
ibm_brisbane,7,4,759,23,777,0.48816378758797185,0.14814814814814814,0.005121638924455826,0.9705882352941176,0.009900990099009901,3877.2408690452576,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,1563
ibm_sherbrooke,7,436,562,220,345,0.6385156749840051,0.6646341463414634,0.558258642765685,0.7186700767263428,0.6068197633959639,3881.037917137146,0,,127,0.00022643288253714706,0.00022643288253714706,0.033997062623031496,1563
ibm_brisbane,8,781,3,779,0,0.5015994881637876,0.5006410256410256,1.0,0.0038363171355498722,0.6672362238359675,5235.424255371094,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,1563
ibm_sherbrooke,8,426,598,184,355,0.655150351887396,0.6983606557377049,0.5454545454545454,0.7647058823529411,0.612508986340762,5245.749592542648,0,,127,0.00022643288253714706,0.00022643288253714706,0.033997062623031496,1563
ibm_brisbane,9,13,717,65,768,0.46705054382597566,0.16666666666666666,0.016645326504481434,0.9168797953964194,0.03026775320139697,7228.409559965134,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,1563
ibm_sherbrooke,9,761,38,744,20,0.5111964171465131,0.5056478405315614,0.9743918053777209,0.04859335038363171,0.6657917760279966,7226.624991416931,0,,127,0.00032589255154736506,0.00032589255154736506,0.033997062623031496,1563
ibm_brisbane,10,363,583,199,418,0.6052463211772233,0.6459074733096085,0.4647887323943662,0.7455242966751918,0.5405807892777365,10394.130934238434,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,1563
ibm_sherbrooke,10,439,196,586,342,0.40626999360204735,0.42829268292682926,0.5620998719590269,0.2506393861892583,0.48615725359911405,10409.833481788635,0,,127,0.00032589255154736506,0.00032589255154736506,0.033997062623031496,1563
ibm_brisbane,2,1042,21,1021,0,0.5100767754318618,0.5050896752302472,1.0,0.02015355086372361,0.6711755233494363,429.44767212867737,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,2084
ibm_sherbrooke,2,1042,21,1021,0,0.5100767754318618,0.5050896752302472,1.0,0.02015355086372361,0.6711755233494363,428.846551656723,0,,127,0.00032589255154736506,0.00032589255154736506,0.033997062623031496,2084
ibm_brisbane,3,0,1042,0,1042,0.5,0,0.0,1.0,0,1275.0021505355835,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,2084
ibm_sherbrooke,3,1042,0,1042,0,0.5,0.5,1.0,0.0,0.6666666666666666,1264.5776619911194,0,,127,0.00032589255154736506,0.00032589255154736506,0.033997062623031496,2084
ibm_brisbane,4,99,1024,18,943,0.5388675623800384,0.8461538461538461,0.09500959692898273,0.982725527831094,0.17083692838654013,1894.7425668239594,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,2084
ibm_sherbrooke,4,943,18,1024,99,0.4611324376199616,0.47941026944585663,0.9049904030710173,0.01727447216890595,0.6267863077434362,1878.5125076770782,0,,127,0.00032589255154736506,0.00032589255154736506,0.03479868971456693,2084
ibm_brisbane,5,0,1042,0,1042,0.5,0,0.0,1.0,0,2723.3440074920654,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,2084
ibm_sherbrooke,5,0,1042,0,1042,0.5,0,0.0,1.0,0,2728.4528419971466,0,,127,0.00032589255154736506,0.00032589255154736506,0.03479868971456693,2084
ibm_brisbane,6,126,999,43,916,0.539827255278311,0.7455621301775148,0.12092130518234165,0.9587332053742802,0.20809248554913293,3782.646244764328,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,2084
ibm_sherbrooke,6,916,43,999,126,0.46017274472168906,0.4783289817232376,0.8790786948176583,0.04126679462571977,0.6195468380114981,3798.218007326126,0,,127,0.00032589255154736506,0.00032589255154736506,0.03479868971456693,2084
ibm_brisbane,7,23,1029,13,1019,0.5047984644913628,0.6388888888888888,0.022072936660268713,0.9875239923224568,0.04267161410018553,5191.841010808945,4.912659,,127,5.385651014926712e-05,5.385651014926712e-05,0.0322380967027559,2084
ibm_sherbrooke,7,558,783,259,484,0.6434740882917467,0.6829865361077111,0.5355086372360844,0.7514395393474088,0.6003227541689079,5181.3464941978455,0,,127,0.00032589255154736506,0.00032589255154736506,0.03479868971456693,2084
ibm_brisbane,8,416,306,736,626,0.34644913627639157,0.3611111111111111,0.39923224568138194,0.29366602687140114,0.3792160437556973,7003.771373033524,4.912659,,127,5.438559958179536e-05,5.438559958179536e-05,0.028683639886811024,2084
ibm_sherbrooke,8,38,939,103,1004,0.46880998080614206,0.2695035460992908,0.036468330134357005,0.9011516314779271,0.06424344885883347,6997.392959833145,0,,127,0.00032589255154736506,0.00032589255154736506,0.03479868971456693,2084
ibm_brisbane,9,50,1005,37,992,0.5062380038387716,0.5747126436781609,0.04798464491362764,0.9644913627639156,0.08857395925597875,9637.094942569733,4.912659,,127,5.438559958179536e-05,5.438559958179536e-05,0.028683639886811024,2084
ibm_sherbrooke,9,969,28,1014,73,0.4784069097888676,0.4886535552193646,0.9299424184261037,0.026871401151631478,0.6406611570247934,9637.48982167244,0,,127,0.00032589255154736506,0.00032589255154736506,0.03479868971456693,2084
ibm_brisbane,10,970,46,996,72,0.4875239923224568,0.4933875890132248,0.9309021113243762,0.044145873320537425,0.6449468085106383,13860.87478852272,4.912659,,127,5.438559958179536e-05,5.438559958179536e-05,0.028683639886811024,2084
ibm_sherbrooke,10,713,478,564,329,0.5714971209213052,0.5583398590446359,0.6842610364683301,0.45873320537428025,0.614920224234584,13886.580510854721,0,,127,0.00036914492789613153,0.00036914492789613153,0.03479868971456693,2084
ibm_brisbane,2,1302,32,1271,0,0.5120921305182342,0.5060240963855421,1.0,0.024558710667689946,0.6719999999999999,536.8855226039886,4.912659,,127,5.739365017200953e-05,5.739365017200953e-05,0.027501384104330708,2605
ibm_sherbrooke,2,1302,32,1271,0,0.5120921305182342,0.5060240963855421,1.0,0.024558710667689946,0.6719999999999999,538.6296217441559,0,,127,0.00036914492789613153,0.00036914492789613153,0.03479868971456693,2605
ibm_brisbane,3,1301,32,1271,1,0.5117082533589251,0.5058320373250389,0.999231950844854,0.024558710667689946,0.6716572018585443,1589.1752016544342,4.912659,,127,5.739365017200953e-05,5.739365017200953e-05,0.027501384104330708,2605
ibm_sherbrooke,3,1301,32,1271,1,0.5117082533589251,0.5058320373250389,0.999231950844854,0.024558710667689946,0.6716572018585443,1589.0430281162262,0,,127,0.00036914492789613153,0.00036914492789613153,0.03479868971456693,2605
ibm_brisbane,4,1301,32,1271,1,0.5117082533589251,0.5058320373250389,0.999231950844854,0.024558710667689946,0.6716572018585443,2348.008548259735,4.912659,,127,5.739365017200953e-05,5.739365017200953e-05,0.027501384104330708,2605
ibm_sherbrooke,4,1301,32,1271,1,0.5117082533589251,0.5058320373250389,0.999231950844854,0.024558710667689946,0.6716572018585443,2349.975447177887,0,,127,0.00036301559382245085,0.00036301559382245085,0.03479868971456693,2605
ibm_brisbane,5,1301,33,1270,1,0.5120921305182342,0.5060287825748736,0.999231950844854,0.02532617037605526,0.6718306222566486,3420.2787823677063,4.912659,,127,5.739365017200953e-05,5.739365017200953e-05,0.027501384104330708,2605
ibm_sherbrooke,5,1301,33,1270,1,0.5120921305182342,0.5060287825748736,0.999231950844854,0.02532617037605526,0.6718306222566486,3417.590567588806,0,,127,0.00036301559382245085,0.00036301559382245085,0.02776859313484252,2605
ibm_brisbane,6,0,1270,33,1302,0.4875239923224568,0.0,0.0,0.9746738296239448,0,4751.255368471146,4.912659,,127,5.739365017200953e-05,5.739365017200953e-05,0.027501384104330708,2605
ibm_brisbane,7,125,1246,57,1177,0.526295585412668,0.6868131868131868,0.09600614439324116,0.9562547966231773,0.16846361185983827,6365.951826095581,4.912659,,127,5.39064103887553e-05,5.39064103887553e-05,0.028747078001968504,2605
ibm_sherbrooke,7,1177,57,1246,125,0.47370441458733203,0.4857614527445316,0.9039938556067588,0.043745203376822715,0.6319463087248323,6376.008446931839,0,,127,0.0003026011942847968,0.0003026011942847968,0.03035802165354331,2605
ibm_brisbane,8,1178,26,1277,124,0.4621880998080614,0.479837067209776,0.9047619047619048,0.019953952417498082,0.6270960873036998,8572.41616821289,4.912659,,127,4.743430838160307e-05,4.743430838160307e-05,0.028823972687007874,2605
ibm_sherbrooke,8,124,1245,58,1178,0.5255278310940499,0.6813186813186813,0.09523809523809523,0.955487336914812,0.16711590296495957,8562.687426328659,0,,127,0.0003026011942847968,0.0003026011942847968,0.03035802165354331,2605
ibm_brisbane,9,1179,25,1278,123,0.4621880998080614,0.47985347985347987,0.9055299539170507,0.01918649270913277,0.627294493216281,11790.054167032242,4.912659,,127,4.743430838160307e-05,4.743430838160307e-05,0.028823972687007874,2605
ibm_sherbrooke,9,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,11818.190049648285,0,,127,0.0003026011942847968,0.0003026011942847968,0.03035802165354331,2605
ibm_brisbane,10,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,16391.49587035179,4.912659,,127,4.743430838160307e-05,4.743430838160307e-05,0.028823972687007874,2605
ibm_sherbrooke,10,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,16418.744817972183,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,2605
ibm_brisbane,2,1563,37,1526,0,0.5118362124120281,0.5059889932016834,1.0,0.023672424824056303,0.6719690455717972,640.9076323509216,4.912659,,127,4.743430838160307e-05,4.743430838160307e-05,0.028823972687007874,3126
ibm_sherbrooke,2,1563,37,1526,0,0.5118362124120281,0.5059889932016834,1.0,0.023672424824056303,0.6719690455717972,641.1992566585541,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,3,1562,37,1526,1,0.5115163147792706,0.5058290155440415,0.999360204734485,0.023672424824056303,0.6716835089228124,1890.4425942897797,4.912659,,127,4.743430838160307e-05,4.743430838160307e-05,0.028823972687007874,3126
ibm_sherbrooke,3,1562,37,1526,1,0.5115163147792706,0.5058290155440415,0.999360204734485,0.023672424824056303,0.6716835089228124,1908.3711743354797,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,4,1562,37,1526,1,0.5115163147792706,0.5058290155440415,0.999360204734485,0.023672424824056303,0.6716835089228124,2806.1885311603546,4.912659,,127,4.743430838160307e-05,4.743430838160307e-05,0.028823972687007874,3126
ibm_sherbrooke,4,1562,37,1526,1,0.5115163147792706,0.5058290155440415,0.999360204734485,0.023672424824056303,0.6716835089228124,2782.0038282871246,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,5,1,1526,37,1562,0.4884836852207294,0.02631578947368421,0.0006397952655150352,0.9763275751759437,0.0012492192379762648,4038.9497957229614,4.912659,,127,5.0821081262770256e-05,5.0821081262770256e-05,0.028823972687007874,3126
ibm_sherbrooke,5,1562,37,1526,1,0.5115163147792706,0.5058290155440415,0.999360204734485,0.023672424824056303,0.6716835089228124,4043.486158132553,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,6,1562,39,1524,1,0.5121561100447857,0.5061568373298768,0.999360204734485,0.02495201535508637,0.6719724671972467,5598.953430175781,4.912659,,127,5.0821081262770256e-05,5.0821081262770256e-05,0.027532141978346455,3126
ibm_sherbrooke,6,1562,39,1524,1,0.5121561100447857,0.5061568373298768,0.999360204734485,0.02495201535508637,0.6719724671972467,5606.660892486572,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,7,1407,30,1533,156,0.4596928982725528,0.4785714285714286,0.9001919385796545,0.019193857965451054,0.6249167221852099,7658.1797778606415,4.912659,,127,5.0821081262770256e-05,5.0821081262770256e-05,0.027532141978346455,3126
ibm_sherbrooke,7,0,1563,0,1563,0.5,0,0.0,1.0,0,7647.228652715683,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,8,2,1560,3,1561,0.4996801023672425,0.4,0.0012795905310300703,0.9980806142034548,0.0025510204081632655,10293.862990617752,4.912659,,127,5.0821081262770256e-05,5.0821081262770256e-05,0.027532141978346455,3126
ibm_sherbrooke,8,2,1560,3,1561,0.4996801023672425,0.4,0.0012795905310300703,0.9980806142034548,0.0025510204081632655,10289.948168039322,0,,127,0.0003863934519462937,0.0003863934519462937,0.03510819082185039,3126
ibm_brisbane,9,29,1555,8,1534,0.5067178502879078,0.7837837837837838,0.018554062699936022,0.9948816378758797,0.036250000000000004,14159.090752840042,4.912659,,127,5.0821081262770256e-05,5.0821081262770256e-05,0.027532141978346455,3126
