Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,214.80965948104858,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,3,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,412.6459195613861,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,4,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,661.8278715610504,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,5,126,64,197,134,0.3646833013435701,0.39009287925696595,0.4846153846153846,0.24521072796934865,0.4322469982847342,996.6941664218903,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,6,127,66,195,133,0.3704414587332054,0.3944099378881988,0.48846153846153845,0.25287356321839083,0.436426116838488,1403.0850520133972,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,7,136,65,196,124,0.3857965451055662,0.40963855421686746,0.5230769230769231,0.24904214559386972,0.45945945945945943,1915.5027332305908,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,8,123,196,65,137,0.6122840690978887,0.6542553191489362,0.47307692307692306,0.7509578544061303,0.5491071428571428,2556.0213556289673,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,9,134,65,196,126,0.381957773512476,0.40606060606060607,0.5153846153846153,0.24904214559386972,0.4542372881355932,3384.4619977474213,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,10,127,189,72,133,0.6065259117082533,0.6381909547738693,0.48846153846153845,0.7241379310344828,0.5533769063180827,4479.866781234741,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,521
ibm_brisbane,2,0,510,11,521,0.4894433781190019,0.0,0.0,0.9788867562380038,0,884.6262228488922,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,1042
ibm_brisbane,3,58,511,10,463,0.5460652591170825,0.8529411764705882,0.11132437619961612,0.980806142034549,0.1969439728353141,1639.0943341255188,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,1042
ibm_brisbane,4,58,511,10,463,0.5460652591170825,0.8529411764705882,0.11132437619961612,0.980806142034549,0.1969439728353141,2653.2528302669525,4.912659,,127,5.302864345832574e-05,5.302864345832574e-05,0.027241864542322834,1042
