Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
16,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,1.2312047481536865,1.2312047481536865,2605
17,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,1717.4283654689789,1717.4283654689789,2605
18,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,1749.663559436798,1749.663559436798,2605
19,0,1303,0,1302,0.5001919385796545,0,0.0,1.0,0,1751.7474262714386,1751.7474262714386,2605
2,115,179,1384,1448,0.09404990403071017,0.07671781187458306,0.07357645553422905,0.1145233525271913,0.07511430437622468,0.7096271514892578,0.7096271514892578,3126
3,623,154,1409,940,0.24856046065259116,0.3065944881889764,0.39859245041586694,0.09852847088931542,0.34659248956884564,0.7062156200408936,0.7062156200408936,3126
4,1389,961,602,174,0.7517594369801663,0.6976393771973882,0.8886756238003839,0.6148432501599488,0.7816544738323017,0.706925630569458,0.706925630569458,3126
5,1415,959,604,148,0.7594369801663468,0.7008420009905894,0.9053103007037748,0.6135636596289188,0.7900614182021216,0.7070393562316895,0.7070393562316895,3126
6,1378,1060,503,185,0.7799104286628279,0.732589048378522,0.8816378758797185,0.6781829814459372,0.8002322880371661,0.7063038349151611,0.7063038349151611,3126
7,475,413,1150,1088,0.2840690978886756,0.2923076923076923,0.3039027511196417,0.26423544465770954,0.29799247176913424,0.70705246925354,0.70705246925354,3126
8,0,1560,3,1563,0.4990403071017274,0.0,0.0,0.9980806142034548,0,0.8043382167816162,0.8043382167816162,3126
9,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,1.003664493560791,1.003664493560791,3126
10,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,1.4981067180633545,1.4981067180633545,3126
11,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,1.867307186126709,1.867307186126709,3126
12,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,1.6699275970458984,1.6699275970458984,3126
13,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,2.099708080291748,2.099708080291748,3126
14,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,2.2966959476470947,2.2966959476470947,3126
15,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,6.5100603103637695,6.5100603103637695,3126
16,0,1562,1,1563,0.4996801023672425,0.0,0.0,0.999360204734485,0,3095.7225098609924,3095.7225098609924,3126
17,0,1563,0,1563,0.5,0,0.0,1.0,0,1.8336584568023682,1.8336584568023682,3126
18,0,1563,0,1563,0.5,0,0.0,1.0,0,1.8331756591796875,1.8331756591796875,3126
19,0,1563,0,1563,0.5,0,0.0,1.0,0,2.023725986480713,2.023725986480713,3126
2,1687,1615,209,136,0.9054017000274198,0.8897679324894515,0.9253976961053209,0.8854166666666666,0.907233127184727,1.0393948554992676,1.0393948554992676,3647
3,39,867,957,1784,0.24842336166712367,0.0391566265060241,0.021393307734503566,0.4753289473684211,0.027669386307201133,1.0395028591156006,1.0395028591156006,3647
4,204,698,1126,1619,0.2473265697833836,0.15338345864661654,0.11190345584201865,0.3826754385964912,0.12940057088487156,1.0389978885650635,1.0389978885650635,3647
5,171,700,1124,1652,0.23882643268439813,0.13204633204633204,0.09380142622051563,0.38377192982456143,0.10968569595894803,1.0397472381591797,1.0397472381591797,3647
6,218,593,1231,1605,0.22237455442829723,0.15044858523119392,0.11958310477235326,0.32510964912280704,0.13325183374083127,1.0398344993591309,1.0398344993591309,3647
